"Imuno";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";" Total"
"Tríplice Viral  D2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"68,87";"92,88";"79,94";"76,71";"72,94";"76,89";"81,55";"62,74";"42,17";"74,58"
"Tetra Viral(SRC+VZ)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34,19";"90,19";"77,37";"79,04";"35,44";"33,26";"34,24";"20,67";"7,61";"49,10"
"DTP";"94,71";"97,45";"44,69";"1,41";"102,41";"102,82";"103,50";"103,25";"97,98";"101,71";"98,01";"99,61";"93,81";"97,85";"95,48";"96,90";"89,53";"0";"0";"0";"0";"0";"88,87"
"DTP REF (4 e 6 anos)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,41";"0";"2,73";"66,08";"68,52";"53,74";"72,98";"46,02";"36,79"
"Tríplice Bacteriana(DTP)(1º ref)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90,96";"86,36";"85,78";"64,28";"72,40";"73,27";"57,08";"76,05";"51,82";"74,35"
"Sarampo";"105,35";"103,85";"96,02";"4,06";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"77,83"
"Haemophilus influenzae b";"87,85";"93,10";"38,98";"1,72";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"55,97"
"Dupla adulto e tríplice acelular gestante";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50,73";"43,50";"45,57";"31,53";"34,73";"44,99";"45,02";"22,40";"0";"39,76"
"dTpa gestante";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2,80";"9,34";"44,97";"33,81";"42,40";"60,23";"63,23";"45,43";"0";"37,93"
"Tetravalente (DTP/Hib) (TETRA)";"0";"0";"53,86";"97,47";"102,30";"102,49";"103,31";"103,06";"97,62";"101,39";"97,66";"99,00";"68,93";"98,11";"95,50";"95,49";"5,21";"0";"0";"0";"0";"0";"76,57"
"Ignorado";"80,12";"83,86";"81,35";"83,19";"81,72";"73,77";"73,47";"73,11";"70,67";"72,39";"72,88";"75,73";"70,51";"53,87";"160,09";"196,58";"16,44";"0";"0";"0";"0";"0";"74,95"
"Total";"76,50";"79,85";"76,09";"72,97";"82,79";"77,04";"76,12";"76,94";"74,32";"76,52";"74,66";"85,31";"77,32";"73,29";"86,31";"95,07";"50,44";"72,93";"77,13";"73,44";"66,62";"51,06";"75,38"
